date,county,state,fips,TAVG,TMAX,TMIN,PRCP,WIND,DEWP_mean,RH,station
2000-01-01,Cook County,IL,17031,5.6,8.9,1.7,0.0,3.3,-1.0,62.4,GHCND:USW00094846
2000-01-02,Cook County,IL,17031,8.9,15.6,1.7,0.3,6.2,6.0,82.3,GHCND:USW00094846
2000-01-03,Cook County,IL,17031,1.7,3.3,0.0,6.4,5.7,1.6,99.4,GHCND:USW00094846
2000-01-04,Cook County,IL,17031,-2.2,0.6,-5.0,0.0,6.0,-3.3,92.1,GHCND:USW00094846
2000-01-05,Cook County,IL,17031,-6.7,-3.3,-10.6,0.0,5.0,-8.7,85.9,GHCND:USW00094846
2000-01-06,Cook County,IL,17031,1.1,5.0,-3.3,0.0,5.0,-4.6,65.8,GHCND:USW00094846
2000-01-07,Cook County,IL,17031,-3.9,-1.7,-6.1,0.0,4.3,-8.5,70.2,GHCND:USW00094846
2000-01-08,Cook County,IL,17031,2.8,7.2,-1.7,0.3,5.2,-5.5,54.5,GHCND:USW00094846
2000-01-09,Cook County,IL,17031,3.9,5.0,2.8,3.3,2.9,3.0,93.8,GHCND:USW00094846
2000-01-10,Cook County,IL,17031,5.6,7.8,2.8,2.8,6.3,3.3,85.3,GHCND:USW00094846
2000-01-11,Cook County,IL,17031,0.6,2.8,-1.7,0.0,6.7,-3.7,73.1,GHCND:USW00094846
2000-01-12,Cook County,IL,17031,-0.6,1.7,-2.8,0.0,5.1,-6.8,63.1,GHCND:USW00094846
2000-01-13,Cook County,IL,17031,-3.9,1.1,-8.9,0.3,5.3,-5.3,90.3,GHCND:USW00094846
2000-01-14,Cook County,IL,17031,-6.7,-2.2,-11.7,0.0,3.4,-10.6,73.7,GHCND:USW00094846
2000-01-15,Cook County,IL,17031,1.1,5.6,-3.3,0.0,4.3,-6.0,59.3,GHCND:USW00094846
2000-01-16,Cook County,IL,17031,-0.6,2.8,-3.9,0.0,6.5,-4.7,73.6,GHCND:USW00094846
2000-01-17,Cook County,IL,17031,-5.6,-3.9,-7.2,2.5,6.0,-11.6,62.5,GHCND:USW00094846
2000-01-18,Cook County,IL,17031,-3.9,0.0,-8.3,0.0,3.8,-6.1,84.8,GHCND:USW00094846
2000-01-19,Cook County,IL,17031,-6.1,-2.2,-10.6,7.4,2.6,-9.0,80.0,GHCND:USW00094846
2000-01-20,Cook County,IL,17031,-12.2,-7.2,-17.8,0.0,6.4,-12.0,100.0,GHCND:USW00094846
