date,county,state,fips,TAVG,TMAX,TMIN,PRCP,WIND,DEWP_mean,RH,station
2000-01-01,Dallas County,TX,48113,15.0,24.4,5.6,0.0,5.6,5.4,52.5,GHCND:USW00013960
2000-01-02,Dallas County,TX,48113,18.3,21.7,15.0,0.0,3.7,16.0,86.3,GHCND:USW00013960
2000-01-03,Dallas County,TX,48113,13.9,21.1,6.7,0.3,7.6,6.3,60.0,GHCND:USW00013960
2000-01-04,Dallas County,TX,48113,4.4,8.3,0.6,0.0,5.9,-4.8,51.4,GHCND:USW00013960
2000-01-05,Dallas County,TX,48113,6.7,13.3,0.0,0.0,5.7,-8.7,32.4,GHCND:USW00013960
2000-01-06,Dallas County,TX,48113,11.1,17.8,4.4,0.0,3.6,-2.3,39.1,GHCND:USW00013960
2000-01-07,Dallas County,TX,48113,11.7,13.3,9.4,17.3,2.8,6.4,70.0,GHCND:USW00013960
2000-01-08,Dallas County,TX,48113,10.6,12.2,8.3,5.3,4.4,8.3,85.7,GHCND:USW00013960
2000-01-09,Dallas County,TX,48113,12.8,21.1,4.4,0.0,3.7,4.5,57.0,GHCND:USW00013960
2000-01-10,Dallas County,TX,48113,12.8,22.2,5.6,0.0,2.3,-4.2,30.3,GHCND:USW00013960
2000-01-11,Dallas County,TX,48113,13.9,22.2,5.6,0.0,1.7,-0.8,36.5,GHCND:USW00013960
2000-01-12,Dallas County,TX,48113,18.9,26.7,11.1,0.0,5.5,10.9,59.8,GHCND:USW00013960
2000-01-13,Dallas County,TX,48113,13.9,19.4,7.8,0.0,5.1,0.0,38.6,GHCND:USW00013960
2000-01-14,Dallas County,TX,48113,10.6,15.0,5.6,0.0,4.1,-4.9,33.4,GHCND:USW00013960
2000-01-15,Dallas County,TX,48113,14.4,20.6,7.8,0.0,5.7,1.5,41.5,GHCND:USW00013960
2000-01-16,Dallas County,TX,48113,18.9,23.3,13.9,0.0,5.6,12.4,66.0,GHCND:USW00013960
2000-01-17,Dallas County,TX,48113,19.4,24.4,13.9,0.0,5.2,13.0,66.3,GHCND:USW00013960
2000-01-18,Dallas County,TX,48113,14.4,18.3,10.6,0.0,2.9,11.0,79.9,GHCND:USW00013960
2000-01-19,Dallas County,TX,48113,15.6,23.3,7.2,0.0,3.0,7.2,57.5,GHCND:USW00013960
2000-01-20,Dallas County,TX,48113,8.9,14.4,3.3,0.0,4.5,-2.5,44.6,GHCND:USW00013960
2000-01-21,Dallas County,TX,48113,8.3,14.4,1.7,0.0,5.8,-5.7,36.7,GHCND:USW00013960
2000-01-22,Dallas County,TX,48113,16.1,21.1,10.6,0.0,4.6,5.7,50.3,GHCND:USW00013960
2000-01-23,Dallas County,TX,48113,12.2,17.2,7.2,0.0,3.8,5.6,64.1,GHCND:USW00013960
2000-01-24,Dallas County,TX,48113,3.9,8.3,-1.1,0.0,3.1,-1.6,67.5,GHCND:USW00013960
2000-01-25,Dallas County,TX,48113,6.7,10.6,2.8,0.0,4.1,-6.4,38.7,GHCND:USW00013960
2000-01-26,Dallas County,TX,48113,2.8,4.4,1.1,0.0,4.6,-9.4,40.3,GHCND:USW00013960
2000-01-27,Dallas County,TX,48113,0.0,1.1,-1.7,23.4,3.6,-2.7,82.3,GHCND:USW00013960
2000-01-28,Dallas County,TX,48113,-1.1,-0.6,-1.7,0.0,4.3,-3.7,82.8,GHCND:USW00013960
2000-01-29,Dallas County,TX,48113,-1.1,0.0,-2.2,0.0,3.1,-4.9,75.2,GHCND:USW00013960
2000-01-30,Dallas County,TX,48113,1.7,8.3,-5.0,0.0,1.6,-4.3,64.2,GHCND:USW00013960
2000-01-31,Dallas County,TX,48113,5.6,11.7,-1.1,0.0,4.0,-1.9,58.7,GHCND:USW00013960
2000-02-01,Dallas County,TX,48113,10.0,13.3,6.1,0.0,3.2,0.1,50.3,GHCND:USW00013960
2000-02-02,Dallas County,TX,48113,5.6,11.7,-0.6,0.0,2.9,-0.4,65.2,GHCND:USW00013960
2000-02-03,Dallas County,TX,48113,13.3,21.1,5.0,0.0,3.5,2.3,47.3,GHCND:USW00013960
2000-02-04,Dallas County,TX,48113,7.8,11.7,3.3,0.0,5.4,-1.6,51.6,GHCND:USW00013960
2000-02-05,Dallas County,TX,48113,4.4,10.6,-1.7,0.0,2.5,-4.6,52.1,GHCND:USW00013960
2000-02-06,Dallas County,TX,48113,10.0,17.2,2.2,0.0,5.1,0.3,50.8,GHCND:USW00013960
2000-02-07,Dallas County,TX,48113,15.0,19.4,10.6,0.0,3.1,8.9,66.9,GHCND:USW00013960
2000-02-08,Dallas County,TX,48113,12.8,20.0,5.6,0.0,2.2,1.3,45.5,GHCND:USW00013960
2000-02-09,Dallas County,TX,48113,16.7,23.3,9.4,0.0,6.4,4.3,43.9,GHCND:USW00013960
2000-02-10,Dallas County,TX,48113,21.1,26.7,15.0,0.0,5.0,12.0,56.1,GHCND:USW00013960
2000-02-11,Dallas County,TX,48113,12.2,18.3,5.6,0.0,4.6,8.5,78.3,GHCND:USW00013960
2000-02-12,Dallas County,TX,48113,10.6,15.6,5.0,0.0,4.1,3.0,59.2,GHCND:USW00013960
2000-02-13,Dallas County,TX,48113,16.1,23.9,7.8,0.0,5.7,6.1,51.5,GHCND:USW00013960
2000-02-14,Dallas County,TX,48113,10.6,17.2,3.9,0.0,2.0,0.8,50.8,GHCND:USW00013960
2000-02-15,Dallas County,TX,48113,17.8,27.2,8.3,0.0,5.0,4.9,42.6,GHCND:USW00013960
2000-02-16,Dallas County,TX,48113,18.3,21.7,15.0,0.0,3.1,14.4,78.1,GHCND:USW00013960
2000-02-17,Dallas County,TX,48113,20.0,26.1,13.3,0.0,6.1,11.3,57.1,GHCND:USW00013960
2000-02-18,Dallas County,TX,48113,14.4,22.8,5.6,0.3,7.2,12.7,89.6,GHCND:USW00013960
2000-02-19,Dallas County,TX,48113,7.8,13.9,1.7,0.0,3.0,-0.8,54.6,GHCND:USW00013960
2000-02-20,Dallas County,TX,48113,11.1,18.3,3.3,0.0,2.5,1.3,50.7,GHCND:USW00013960
2000-02-21,Dallas County,TX,48113,15.6,21.1,10.0,0.0,5.5,4.9,48.8,GHCND:USW00013960
2000-02-22,Dallas County,TX,48113,18.3,22.2,13.9,24.9,7.5,14.1,76.4,GHCND:USW00013960
2000-02-23,Dallas County,TX,48113,18.9,25.0,12.2,0.0,6.0,10.1,56.5,GHCND:USW00013960
2000-02-24,Dallas County,TX,48113,20.6,24.4,16.1,0.0,7.4,12.5,59.7,GHCND:USW00013960
2000-02-25,Dallas County,TX,48113,21.7,26.7,16.7,18.5,6.7,14.2,62.4,GHCND:USW00013960
2000-02-26,Dallas County,TX,48113,15.0,19.4,10.0,0.0,5.1,5.8,54.1,GHCND:USW00013960
2000-02-27,Dallas County,TX,48113,13.3,21.1,5.0,0.0,3.0,1.9,45.8,GHCND:USW00013960
2000-02-28,Dallas County,TX,48113,15.6,21.7,9.4,0.0,6.9,3.6,44.6,GHCND:USW00013960
2000-02-29,Dallas County,TX,48113,20.6,26.7,13.9,0.0,5.5,8.7,46.4,GHCND:USW00013960
2000-03-01,Dallas County,TX,48113,15.6,21.7,9.4,0.0,4.0,3.2,43.5,GHCND:USW00013960
2000-03-02,Dallas County,TX,48113,19.4,24.4,13.9,5.8,5.1,9.5,52.8,GHCND:USW00013960
2000-03-03,Dallas County,TX,48113,12.2,15.6,8.9,0.0,6.3,7.3,71.9,GHCND:USW00013960
2000-03-04,Dallas County,TX,48113,11.1,17.2,5.0,0.0,2.5,2.7,56.1,GHCND:USW00013960
2000-03-05,Dallas County,TX,48113,13.3,19.4,7.2,0.0,5.8,5.3,58.3,GHCND:USW00013960
2000-03-06,Dallas County,TX,48113,19.4,23.3,15.6,0.0,5.7,12.5,64.5,GHCND:USW00013960
2000-03-07,Dallas County,TX,48113,20.6,25.6,15.0,1.0,7.4,16.6,77.9,GHCND:USW00013960
2000-03-08,Dallas County,TX,48113,20.0,26.1,13.9,0.5,3.6,7.4,44.1,GHCND:USW00013960
2000-03-09,Dallas County,TX,48113,16.1,22.2,10.0,0.0,2.5,5.4,48.9,GHCND:USW00013960
2000-03-10,Dallas County,TX,48113,12.2,16.7,7.2,8.6,4.6,8.2,76.5,GHCND:USW00013960
2000-03-11,Dallas County,TX,48113,8.3,13.3,2.8,0.0,4.9,1.2,60.9,GHCND:USW00013960
2000-03-12,Dallas County,TX,48113,10.0,16.7,3.3,0.0,3.6,0.5,51.7,GHCND:USW00013960
2000-03-13,Dallas County,TX,48113,14.4,21.1,7.8,0.0,4.6,5.3,54.4,GHCND:USW00013960
2000-03-14,Dallas County,TX,48113,16.1,18.3,13.9,3.6,4.4,8.3,59.9,GHCND:USW00013960
2000-03-15,Dallas County,TX,48113,18.9,22.8,14.4,0.0,3.6,12.9,68.1,GHCND:USW00013960
2000-03-16,Dallas County,TX,48113,14.4,22.2,6.1,0.0,4.6,13.6,95.1,GHCND:USW00013960
