date,county,state,fips,TAVG,TMAX,TMIN,PRCP,WIND,DEWP_mean,RH,station
2000-01-01,Maricopa County,AZ,04013,12.2,15.6,8.3,0.0,2.4,-0.2,42.4,GHCND:USW00023183
2000-01-02,Maricopa County,AZ,04013,10.0,13.9,6.1,0.3,2.7,1.5,55.3,GHCND:USW00023183
2000-01-03,Maricopa County,AZ,04013,7.8,15.0,0.0,0.0,1.1,-1.5,51.7,GHCND:USW00023183
2000-01-04,Maricopa County,AZ,04013,11.7,18.3,4.4,0.0,2.0,-9.8,21.2,GHCND:USW00023183
2000-01-05,Maricopa County,AZ,04013,10.6,17.8,3.3,0.0,1.4,-6.5,29.6,GHCND:USW00023183
2000-01-06,Maricopa County,AZ,04013,10.6,17.8,2.8,0.0,1.7,-7.6,27.1,GHCND:USW00023183
2000-01-07,Maricopa County,AZ,04013,11.1,18.3,3.3,0.0,1.5,-10.9,20.2,GHCND:USW00023183
2000-01-08,Maricopa County,AZ,04013,10.6,17.2,3.3,0.0,1.3,-6.7,29.0,GHCND:USW00023183
2000-01-09,Maricopa County,AZ,04013,10.0,17.2,2.2,0.0,1.7,-6.3,31.2,GHCND:USW00023183
2000-01-10,Maricopa County,AZ,04013,12.2,20.0,3.9,0.0,1.5,-6.6,26.4,GHCND:USW00023183
2000-01-11,Maricopa County,AZ,04013,13.9,21.7,5.6,0.0,1.3,-6.5,23.8,GHCND:USW00023183
2000-01-12,Maricopa County,AZ,04013,15.0,22.8,6.7,0.0,1.6,-6.0,23.0,GHCND:USW00023183
2000-01-13,Maricopa County,AZ,04013,16.1,25.0,6.7,0.0,1.3,-3.4,26.0,GHCND:USW00023183
2000-01-14,Maricopa County,AZ,04013,18.3,27.2,9.4,0.0,1.5,-4.1,21.5,GHCND:USW00023183
2000-01-15,Maricopa County,AZ,04013,18.3,27.2,8.9,0.0,1.6,-5.7,19.0,GHCND:USW00023183
2000-01-16,Maricopa County,AZ,04013,17.2,25.0,9.4,0.0,1.9,-5.4,21.0,GHCND:USW00023183
2000-01-17,Maricopa County,AZ,04013,18.9,25.6,11.7,0.0,1.6,-4.7,19.9,GHCND:USW00023183
2000-01-18,Maricopa County,AZ,04013,20.0,26.1,13.9,0.0,1.3,0.4,27.0,GHCND:USW00023183
2000-01-19,Maricopa County,AZ,04013,18.9,26.1,11.7,0.0,1.7,1.2,30.5,GHCND:USW00023183
2000-01-20,Maricopa County,AZ,04013,18.3,25.0,11.7,0.0,1.5,1.5,32.4,GHCND:USW00023183
2000-01-21,Maricopa County,AZ,04013,17.8,22.8,12.8,0.0,2.0,3.7,39.2,GHCND:USW00023183
2000-01-22,Maricopa County,AZ,04013,16.7,21.1,11.7,0.0,1.4,5.5,47.5,GHCND:USW00023183
2000-01-23,Maricopa County,AZ,04013,15.0,22.2,7.2,0.0,1.2,1.4,39.7,GHCND:USW00023183
2000-01-24,Maricopa County,AZ,04013,17.2,23.3,11.1,0.0,1.6,-0.6,29.8,GHCND:USW00023183
2000-01-25,Maricopa County,AZ,04013,18.9,25.6,11.7,0.0,2.0,-0.7,26.6,GHCND:USW00023183
2000-01-26,Maricopa County,AZ,04013,16.7,20.6,12.8,0.0,4.2,1.8,36.6,GHCND:USW00023183
2000-01-27,Maricopa County,AZ,04013,13.9,19.4,8.3,0.0,1.9,0.1,38.9,GHCND:USW00023183
2000-01-28,Maricopa County,AZ,04013,12.8,19.4,6.1,0.0,1.7,-3.3,32.4,GHCND:USW00023183
2000-01-29,Maricopa County,AZ,04013,12.2,19.4,5.0,0.0,1.2,-6.7,26.1,GHCND:USW00023183
2000-01-30,Maricopa County,AZ,04013,15.0,20.0,10.0,0.0,1.8,-7.1,21.0,GHCND:USW00023183
2000-01-31,Maricopa County,AZ,04013,15.0,19.4,10.6,0.0,1.9,-3.3,28.3,GHCND:USW00023183
2000-02-01,Maricopa County,AZ,04013,13.9,21.1,6.7,0.0,2.1,-0.9,36.2,GHCND:USW00023183
2000-02-02,Maricopa County,AZ,04013,15.0,22.8,7.2,0.0,1.8,-6.9,21.5,GHCND:USW00023183
2000-02-03,Maricopa County,AZ,04013,16.7,24.4,8.3,0.0,2.0,-6.5,19.8,GHCND:USW00023183
2000-02-04,Maricopa County,AZ,04013,16.1,23.9,7.8,0.0,1.4,-7.8,18.7,GHCND:USW00023183
2000-02-05,Maricopa County,AZ,04013,16.7,24.4,8.9,0.0,1.9,-6.2,20.3,GHCND:USW00023183
2000-02-06,Maricopa County,AZ,04013,16.7,24.4,8.3,0.0,1.8,-4.2,23.7,GHCND:USW00023183
2000-02-07,Maricopa County,AZ,04013,18.3,28.3,8.3,0.0,0.7,-3.0,23.4,GHCND:USW00023183
2000-02-08,Maricopa County,AZ,04013,19.4,27.2,11.7,0.0,1.5,-4.9,18.9,GHCND:USW00023183
2000-02-09,Maricopa County,AZ,04013,18.9,25.6,12.2,0.0,2.0,-1.7,24.7,GHCND:USW00023183
2000-02-10,Maricopa County,AZ,04013,18.3,23.9,12.2,0.0,1.9,2.2,34.1,GHCND:USW00023183
2000-02-11,Maricopa County,AZ,04013,15.6,20.6,10.0,0.0,1.2,3.9,45.7,GHCND:USW00023183
2000-02-12,Maricopa County,AZ,04013,16.1,21.7,10.6,0.0,4.0,3.0,41.6,GHCND:USW00023183
2000-02-13,Maricopa County,AZ,04013,15.0,19.4,10.0,0.0,1.3,4.5,49.4,GHCND:USW00023183
2000-02-14,Maricopa County,AZ,04013,16.1,22.2,10.0,0.0,1.6,4.4,45.8,GHCND:USW00023183
2000-02-15,Maricopa County,AZ,04013,17.8,25.0,10.0,0.0,1.5,6.1,46.3,GHCND:USW00023183
2000-02-16,Maricopa County,AZ,04013,16.1,20.6,11.1,0.0,2.2,2.0,38.5,GHCND:USW00023183
2000-02-17,Maricopa County,AZ,04013,14.4,18.3,10.6,0.0,3.9,1.9,42.9,GHCND:USW00023183
2000-02-18,Maricopa County,AZ,04013,13.9,20.0,7.2,0.0,1.7,-2.6,32.0,GHCND:USW00023183
2000-02-19,Maricopa County,AZ,04013,16.1,23.3,8.3,0.0,1.4,-3.5,25.8,GHCND:USW00023183
2000-02-20,Maricopa County,AZ,04013,20.6,28.3,12.2,0.0,3.2,-4.9,17.5,GHCND:USW00023183
2000-02-21,Maricopa County,AZ,04013,18.3,24.4,12.2,0.0,4.6,8.5,52.7,GHCND:USW00023183
2000-02-22,Maricopa County,AZ,04013,15.0,18.9,11.1,0.0,1.6,7.6,61.1,GHCND:USW00023183
2000-02-23,Maricopa County,AZ,04013,15.0,20.6,9.4,0.0,2.2,4.2,48.6,GHCND:USW00023183
2000-02-24,Maricopa County,AZ,04013,13.3,17.2,9.4,0.0,4.2,2.0,46.3,GHCND:USW00023183
2000-02-25,Maricopa County,AZ,04013,12.2,17.2,7.2,0.0,2.2,-4.0,32.1,GHCND:USW00023183
