county,state,fips,year,TAVG_mean,TAVG_min,TAVG_max,TMAX_mean,TMAX_min,TMAX_max,TMIN_mean,TMIN_min,TMIN_max,PRCP_mean,PRCP_min,PRCP_max,WIND_mean,WIND_min,WIND_max,RH_mean,RH_min,RH_max
Boulder County,CO,08013,2000,11.03,-11.6,28.6,18.79,-7.2,36.7,3.3,-17.2,25.0,1.1,0.0,46.0,,,,,,
Boulder County,CO,08013,2001,11.36,-12.2,27.2,18.87,-5.6,37.2,3.86,-20.6,21.1,1.27,0.0,39.1,,,,,,
Boulder County,CO,08013,2002,11.01,-14.2,27.8,18.98,-7.2,38.3,3.06,-21.1,19.4,0.97,0.0,43.4,,,,,,
Boulder County,CO,08013,2003,-0.93,-15.2,11.1,4.06,-13.5,19.3,-5.94,-21.6,6.2,1.08,0.0,16.9,,,,,,
Boulder County,CO,08013,2004,1.43,-20.8,16.1,6.91,-16.7,23.3,-4.03,-30.3,9.1,2.61,0.0,36.4,,,,,,
Boulder County,CO,08013,2005,2.04,-25.1,18.8,7.7,-19.0,26.5,-3.62,-31.2,12.1,2.1,0.0,41.3,,,,,,
Boulder County,CO,08013,2006,1.91,-19.8,17.9,7.53,-15.3,24.6,-3.72,-24.2,11.6,1.9,0.0,43.0,,,,,,
Boulder County,CO,08013,2007,2.24,-21.3,17.0,8.05,-16.1,24.7,-3.56,-27.9,9.9,2.08,0.0,24.5,,,,,,
Boulder County,CO,08013,2008,1.1,-20.6,16.4,6.88,-16.2,25.3,-4.68,-25.1,11.1,2.14,0.0,35.5,,,,,,
Boulder County,CO,08013,2009,1.36,-22.8,17.2,6.93,-18.7,24.4,-4.2,-27.2,11.2,2.04,0.0,63.0,,,,,,
Boulder County,CO,08013,2010,1.76,-23.0,15.8,7.4,-21.5,24.3,-3.89,-24.4,10.8,2.3,0.0,39.5,,,,,,
Boulder County,CO,08013,2011,1.49,-30.8,16.4,7.04,-23.8,23.8,-4.06,-38.5,12.9,2.73,0.0,38.0,,,,,,
Boulder County,CO,08013,2012,2.87,-18.1,19.3,8.81,-14.6,26.2,-3.07,-22.8,13.6,2.06,0.0,67.0,,,,,,
Boulder County,CO,08013,2013,1.19,-22.9,16.4,6.6,-18.8,24.5,-4.22,-29.6,9.9,2.96,0.0,60.4,,,,,,
Boulder County,CO,08013,2014,1.64,-25.3,18.0,7.17,-23.1,24.0,-3.89,-27.5,13.0,2.8,0.0,39.4,,,,,,
Boulder County,CO,08013,2015,2.49,-20.5,17.0,8.09,-19.2,24.6,-3.11,-25.2,11.2,2.77,0.0,39.5,,,,,,
Boulder County,CO,08013,2016,2.52,-20.2,16.8,8.39,-15.7,25.3,-3.35,-27.7,10.8,2.3,0.0,41.9,,,,,,
Boulder County,CO,08013,2017,2.79,-21.5,16.8,8.41,-16.1,26.5,-2.84,-29.9,11.0,2.73,0.0,61.2,,,,,,
Boulder County,CO,08013,2018,2.34,-19.6,16.3,8.23,-14.4,25.6,-3.56,-26.8,10.1,2.02,0.0,29.6,,,,,,
Boulder County,CO,08013,2019,1.58,-18.2,20.4,7.45,-15.3,25.2,-4.28,-26.0,15.5,2.35,0.0,31.5,,,,,,
Boulder County,CO,08013,2020,2.37,-21.4,17.4,8.61,-17.7,25.3,-3.87,-27.4,11.1,1.65,0.0,42.3,,,,,,
Boulder County,CO,08013,2021,2.33,-21.1,18.9,8.19,-13.1,26.4,-3.52,-29.1,12.1,2.64,0.0,32.3,,,,,,
Boulder County,CO,08013,2022,1.88,-22.6,18.0,7.77,-17.6,24.7,-4.02,-28.9,11.9,2.46,0.0,31.2,,,,,,
Boulder County,CO,08013,2023,1.75,-17.4,18.8,7.5,-14.6,25.9,-3.99,-24.2,13.6,2.27,0.0,36.4,,,,,,
Boulder County,CO,08013,2024,2.85,-19.2,19.0,8.83,-11.3,26.3,-3.13,-30.2,14.0,2.36,0.0,82.4,,,,,,
Cook County,IL,17031,2000,9.91,-18.3,27.8,14.93,-13.9,33.9,4.85,-22.8,22.2,2.32,0.0,60.2,4.17,1.3,8.2,71.27,33.5,100.0
Cook County,IL,17031,2001,10.58,-17.8,29.4,15.39,-11.1,35.0,5.49,-18.9,24.4,3.19,0.0,109.5,4.11,1.1,10.8,71.24,32.1,100.0
Cook County,IL,17031,2002,10.51,-17.8,30.6,15.37,-7.2,35.6,5.62,-21.7,25.6,2.36,0.0,113.0,4.23,1.2,11.4,69.49,32.3,100.0
Cook County,IL,17031,2003,9.56,-17.8,28.9,14.63,-11.1,35.0,4.24,-21.7,22.8,2.23,0.0,56.9,4.1,0.9,11.0,66.76,30.0,100.0
Cook County,IL,17031,2004,10.1,-19.4,28.3,14.98,-16.1,32.8,4.88,-22.8,23.3,2.19,0.0,37.8,4.23,1.0,9.4,68.57,31.3,100.0
Cook County,IL,17031,2005,10.23,-13.9,32.2,15.88,-11.7,38.9,5.53,-18.3,25.6,1.68,0.0,34.3,4.09,1.4,9.5,63.19,34.5,100.0
Cook County,IL,17031,2006,11.1,-17.5,32.0,15.9,-13.3,37.2,6.31,-21.7,26.7,2.92,0.0,52.1,4.12,1.0,8.9,67.58,34.8,100.0
Cook County,IL,17031,2007,10.72,-19.2,29.2,15.6,-16.7,34.4,5.84,-23.3,23.9,2.49,0.0,59.7,4.44,1.5,11.3,65.8,29.0,100.0
Cook County,IL,17031,2008,9.32,-17.0,27.8,14.25,-14.4,34.4,4.38,-21.1,23.3,3.53,0.0,168.7,4.34,1.2,9.7,68.19,37.1,100.0
Cook County,IL,17031,2009,9.32,-22.0,29.2,14.05,-18.3,34.4,4.58,-27.8,25.0,2.96,0.0,100.8,4.07,0.9,9.3,68.71,35.9,100.0
Cook County,IL,17031,2010,10.87,-14.2,29.2,15.66,-11.7,34.4,6.08,-18.3,25.6,2.62,0.0,92.5,4.1,1.0,11.8,66.65,36.7,100.0
Cook County,IL,17031,2011,10.45,-16.6,30.6,15.04,-13.3,37.2,5.85,-22.8,26.7,3.47,0.0,174.2,4.22,1.0,10.6,69.36,40.0,100.0
Cook County,IL,17031,2012,12.51,-10.2,33.6,17.73,-7.2,39.4,7.3,-15.0,27.8,1.87,0.0,34.0,4.31,0.6,11.9,63.15,30.9,100.0
Cook County,IL,17031,2013,13.52,-15.8,30.4,14.44,-11.7,35.6,4.7,-21.0,25.0,2.93,0.0,89.9,4.3,1.0,10.7,66.68,40.1,98.8
Cook County,IL,17031,2014,8.82,-22.1,27.7,13.68,-18.8,32.8,3.8,-26.6,25.0,2.75,0.0,70.1,4.51,0.9,10.4,66.3,31.9,96.3
Cook County,IL,17031,2015,10.24,-18.9,27.5,15.03,-15.5,33.3,5.29,-23.2,24.4,2.78,0.0,65.0,4.39,1.0,10.5,68.84,30.2,98.5
Cook County,IL,17031,2016,11.39,-18.1,29.2,15.98,-13.8,33.9,6.6,-24.9,23.9,2.5,0.0,40.6,4.33,1.4,11.9,68.03,36.5,100.0
Cook County,IL,17031,2017,11.52,-17.2,29.4,16.28,-14.9,35.0,6.61,-19.9,22.8,3.0,0.0,106.4,4.49,1.0,10.4,64.4,27.1,97.9
Cook County,IL,17031,2018,10.58,-19.1,30.6,15.13,-17.1,36.1,6.12,-22.7,26.7,3.43,0.0,59.9,4.19,1.3,9.4,67.86,23.7,98.8
Cook County,IL,17031,2019,9.86,-26.1,29.7,14.45,-23.2,35.0,5.35,-30.5,27.2,3.45,0.0,57.9,4.29,1.3,11.6,70.7,26.9,97.7
Cook County,IL,17031,2020,11.78,-14.4,30.3,16.54,-9.3,36.1,7.2,-18.8,25.6,2.72,0.0,89.7,4.29,1.6,11.2,63.53,34.8,98.4
Cook County,IL,17031,2021,11.93,-17.7,28.7,16.52,-15.5,35.0,7.42,-21.6,25.0,2.1,0.0,48.5,4.15,1.5,12.5,63.18,28.1,91.2
Cook County,IL,17031,2022,10.78,-19.9,31.5,15.48,-18.2,37.2,6.1,-22.1,24.4,2.23,0.0,45.0,4.44,1.0,9.7,63.98,32.8,93.9
Cook County,IL,17031,2023,12.25,-14.3,32.3,16.94,-11.6,37.8,7.69,-18.2,25.0,2.35,0.0,85.1,4.09,1.1,8.3,63.81,29.8,98.0
Cook County,IL,17031,2024,12.75,-21.6,30.9,17.5,-16.6,37.2,8.05,-23.2,26.1,2.43,0.0,41.7,4.23,1.4,9.2,64.06,35.5,100.0
Dallas County,TX,48113,2000,19.88,-17.8,35.6,25.07,-1.7,43.3,14.63,-6.1,29.4,2.71,0.0,77.5,4.41,1.1,9.6,59.54,28.4,100.0
Dallas County,TX,48113,2001,19.51,-1.7,33.3,24.58,-0.6,40.0,14.22,-5.6,28.3,2.46,0.0,74.9,4.16,0.6,9.6,65.03,34.7,100.0
Dallas County,TX,48113,2002,19.25,-2.8,32.8,24.44,1.1,38.3,13.79,-8.3,26.7,2.57,0.0,96.3,4.26,0.8,9.0,62.75,25.5,100.0
Dallas County,TX,48113,2003,19.64,-3.9,35.6,24.89,-1.7,42.8,14.12,-6.7,27.8,1.5,0.0,51.1,4.12,0.7,9.1,61.17,32.0,100.0
