year,week_num,report_week_label,county_key,county_name,fips,cumul_positive_pools,cumul_avian,cumul_veterinary,cumul_sentinel_chk,cumul_wnv_fever,cumul_wnv_neuro,pools_tested,positive_pools,infection_rate,source,source_note,cumul_positive_pools_prev
2017,24,Week24,Dallas_TX,"Dallas County, TX",48113,1,32,0,33,0,0,,1,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,0
2017,25,Week25,Dallas_TX,"Dallas County, TX",48113,1,38,0,39,0,0,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,1
2017,26,Week26,Dallas_TX,"Dallas County, TX",48113,2,61,0,63,0,0,,1,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,1
2017,27,Week27,Dallas_TX,"Dallas County, TX",48113,2,62,0,64,0,0,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,2
2017,28,Week28,Dallas_TX,"Dallas County, TX",48113,2,103,0,105,0,0,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,2
2017,29,Week29,Dallas_TX,"Dallas County, TX",48113,2,152,1,1,155,0,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,2
2017,30,Week30,Dallas_TX,"Dallas County, TX",48113,1,2,181,1,1,2,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,2
2017,31,Week31,Dallas_TX,"Dallas County, TX",48113,1,2,224,2,3,5,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,1
2017,32,Week32,Dallas_TX,"Dallas County, TX",48113,1,2,259,4,4,1,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,1
2017,33,Week33,Dallas_TX,"Dallas County, TX",48113,1,4,291,5,4,1,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,1
2017,34,Week34,Dallas_TX,"Dallas County, TX",48113,1,4,320,8,5,2,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,1
2017,35,Week35,Dallas_TX,"Dallas County, TX",48113,1,4,338,8,5,2,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,1
2017,36,Week36,Dallas_TX,"Dallas County, TX",48113,1,4,343,10,7,2,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,1
2017,37,Week37,Dallas_TX,"Dallas County, TX",48113,1,4,343,10,7,2,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,1
